delete_count,delete_label,delete_ratio,repetition,first_patch,removed_ops,direct_impacted_patch_count,direct_impacted_op_count,direct_saving_rate,direct_max_depth_days,propagated_impacted_patch_count,propagated_impacted_op_count,propagated_saving_rate,propagated_max_depth_days,suffix_op_count,tainted_object_count
3,3,0.00038981288981288983,29,2024-04-02,3,5,165,0.9423076923076923,4,5,1351,0.5276223776223776,4,2860,1978
3,3,0.00038981288981288983,30,2024-03-24,3,14,155,0.9785970726318697,13,14,2890,0.6009389671361502,13,7242,4175
5,5,0.0006496881496881497,1,2024-03-26,5,10,42,0.9934964385258594,11,12,2737,0.5761845772685041,11,6458,3977
5,5,0.0006496881496881497,2,2024-03-23,5,15,153,0.9803316621673737,14,15,3743,0.5188327548528089,14,7779,5354
5,5,0.0006496881496881497,3,2024-03-23,5,15,173,0.9777606376140893,14,15,3278,0.5786090757166731,14,7779,4690
5,5,0.0006496881496881497,4,2024-03-23,5,8,55,0.9929296824784677,9,15,3163,0.5933924668980588,14,7779,4554
5,5,0.0006496881496881497,5,2024-03-26,5,8,38,0.9941158253329204,11,12,2045,0.6833384948900588,11,6458,2974
5,5,0.0006496881496881497,6,2024-03-23,5,15,87,0.9888160431932125,14,15,3206,0.5878647641084973,14,7779,4626
5,5,0.0006496881496881497,7,2024-03-25,5,13,162,0.9765285424514634,12,13,2877,0.5831643002028397,12,6902,4170
5,5,0.0006496881496881497,8,2024-03-24,5,7,37,0.9948909141121237,13,14,3119,0.5693178679922674,13,7242,4498
5,5,0.0006496881496881497,9,2024-03-26,5,12,185,0.9713533601734283,11,12,2897,0.5514091049860638,11,6458,4203
5,5,0.0006496881496881497,10,2024-03-28,5,7,33,0.9939516129032258,9,10,1825,0.6655058651026393,9,5456,2667
5,5,0.0006496881496881497,11,2024-03-23,5,6,23,0.9970433217637228,13,15,2983,0.6165316878776192,14,7779,4310
5,5,0.0006496881496881497,12,2024-03-26,5,12,129,0.9800247754722824,11,12,2654,0.5890368535150201,11,6458,3855
5,5,0.0006496881496881497,13,2024-03-28,5,10,129,0.9763563049853372,9,10,2555,0.531708211143695,9,5456,3707
5,5,0.0006496881496881497,14,2024-03-25,5,13,343,0.9503042596348884,12,13,3048,0.5583888727904955,12,6902,4388
5,5,0.0006496881496881497,15,2024-03-27,5,5,28,0.9953472914589565,10,8,967,0.8393153871718179,10,6018,1430
5,5,0.0006496881496881497,16,2024-03-25,5,5,16,0.997681831353231,12,13,2734,0.6038829324833381,12,6902,3970
5,5,0.0006496881496881497,17,2024-03-30,5,8,155,0.9643841911764706,7,8,1931,0.5562959558823529,7,4352,2823
5,5,0.0006496881496881497,18,2024-03-26,5,12,204,0.9684112728398885,11,12,2907,0.5498606379684112,11,6458,4212
5,5,0.0006496881496881497,19,2024-03-25,5,13,163,0.9763836569110402,12,13,3161,0.5420168067226891,12,6902,4539
5,5,0.0006496881496881497,20,2024-03-28,5,7,47,0.9913856304985337,9,10,1807,0.6688049853372434,9,5456,2645
5,5,0.0006496881496881497,21,2024-03-24,5,5,24,0.9966859983429992,9,14,2997,0.5861640430820215,13,7242,4334
5,5,0.0006496881496881497,22,2024-03-27,5,5,38,0.9936856098371551,9,11,1757,0.7080425390495182,10,6018,2575
5,5,0.0006496881496881497,23,2024-03-23,5,15,314,0.9596349145134336,14,15,3811,0.5100912713716417,14,7779,5449
5,5,0.0006496881496881497,24,2024-03-24,5,14,100,0.9861916597624966,13,14,3088,0.5735984534658933,13,7242,4451
5,5,0.0006496881496881497,25,2024-03-24,5,13,159,0.9780447390223695,13,14,3303,0.5439105219552609,13,7242,4758
5,5,0.0006496881496881497,26,2024-03-23,5,15,365,0.9530788019025582,14,15,3582,0.5395295025067489,14,7779,5129
5,5,0.0006496881496881497,27,2024-03-24,5,14,209,0.9711405689036178,13,14,3143,0.5660038663352664,13,7242,4535
5,5,0.0006496881496881497,28,2024-03-24,5,14,195,0.9730737365368682,13,14,3377,0.5336923501795084,13,7242,4848
5,5,0.0006496881496881497,29,2024-03-28,5,10,110,0.9798387096774194,9,10,2267,0.5844941348973607,9,5456,3305
5,5,0.0006496881496881497,30,2024-03-28,5,9,53,0.9902859237536656,9,10,1332,0.7558651026392962,9,5456,1942
10,10,0.0012993762993762994,1,2024-03-23,10,11,94,0.9879161845995629,14,15,3377,0.565882504177915,14,7779,4857
10,10,0.0012993762993762994,2,2024-03-24,10,14,396,0.9453189726594863,13,14,3278,0.5473626070146369,13,7242,4715
10,10,0.0012993762993762994,3,2024-03-24,10,14,140,0.9806683236674951,13,14,3196,0.5586854460093897,13,7242,4596
10,10,0.0012993762993762994,4,2024-03-23,10,15,132,0.9830312379483224,14,15,3455,0.5558555084201053,14,7779,4990
10,10,0.0012993762993762994,5,2024-03-24,10,14,182,0.9748688207677437,13,14,3251,0.5510908588787627,13,7242,4666
10,10,0.0012993762993762994,6,2024-03-24,10,14,203,0.971969069317868,13,14,3237,0.5530240265120132,13,7242,4639
10,10,0.0012993762993762994,7,2024-03-27,10,11,331,0.9449983383183782,10,11,2601,0.5677966101694916,10,6018,3790
10,10,0.0012993762993762994,8,2024-03-24,10,14,369,0.9490472245236122,13,14,3366,0.5352112676056338,13,7242,4834
10,10,0.0012993762993762994,9,2024-03-24,10,14,252,0.9652029826014913,13,14,3152,0.5647611157138912,13,7242,4527
10,10,0.0012993762993762994,10,2024-03-24,10,14,281,0.9611985639326153,13,14,3123,0.5687655343827671,13,7242,4486
10,10,0.0012993762993762994,11,2024-03-25,10,13,322,0.9533468559837728,12,13,3027,0.5614314691393799,12,6902,4359
10,10,0.0012993762993762994,12,2024-03-23,10,15,365,0.9530788019025582,14,15,3427,0.5594549427947038,14,7779,4910
10,10,0.0012993762993762994,13,2024-03-23,10,15,322,0.9586065046921198,14,15,3654,0.5302738141149248,14,7779,5239
10,10,0.0012993762993762994,14,2024-03-23,10,15,262,0.9663195783519732,14,15,3332,0.571667309422805,14,7779,4789
10,10,0.0012993762993762994,15,2024-03-26,10,12,197,0.9694951997522453,11,12,3008,0.5342211210901208,11,6458,4353
10,10,0.0012993762993762994,16,2024-03-24,10,14,227,0.9686550676608672,13,14,3277,0.5475006904170119,13,7242,4706
10,10,0.0012993762993762994,17,2024-03-23,10,15,431,0.9445944208767194,14,15,3654,0.5302738141149248,14,7779,5224
10,10,0.0012993762993762994,18,2024-03-23,10,15,272,0.965034066075331,14,15,3344,0.5701246946908343,14,7779,4813
10,10,0.0012993762993762994,19,2024-03-26,10,12,245,0.9620625580675132,11,12,2949,0.5433570764942707,11,6458,4257
10,10,0.0012993762993762994,20,2024-03-25,10,13,201,0.9708780063749638,12,13,3161,0.5420168067226891,12,6902,4536
10,10,0.0012993762993762994,21,2024-03-23,10,15,267,0.9656768222136521,14,15,3538,0.5451857565239748,14,7779,5078
10,10,0.0012993762993762994,22,2024-03-23,10,15,259,0.9667052320349659,14,15,3524,0.5469854737112739,14,7779,5056
10,10,0.0012993762993762994,23,2024-03-23,10,15,303,0.96104897801774,14,15,3671,0.528088443244633,14,7779,5266
10,10,0.0012993762993762994,24,2024-03-28,10,10,258,0.9527126099706745,9,10,2327,0.5734970674486803,9,5456,3390
10,10,0.0012993762993762994,25,2024-03-27,10,11,155,0.9742439348620804,10,11,2782,0.5377201728148886,10,6018,4033
10,10,0.0012993762993762994,26,2024-03-23,10,15,399,0.9487080601619745,14,15,3544,0.5444144491579894,14,7779,5080
10,10,0.0012993762993762994,27,2024-03-23,10,15,384,0.9506363285769379,14,15,3602,0.5369584779534644,14,7779,5155
10,10,0.0012993762993762994,28,2024-03-24,10,14,119,0.9835680751173709,13,14,2988,0.5874067937033969,13,7242,4317
10,10,0.0012993762993762994,29,2024-03-25,10,12,202,0.9707331208345407,12,13,3094,0.5517241379310345,12,6902,4474
10,10,0.0012993762993762994,30,2024-03-27,10,10,82,0.9863742107012297,10,11,2679,0.5548354935194417,10,6018,3894
50,50,0.006496881496881497,1,2024-03-23,50,15,917,0.8821185242319064,14,15,3969,0.48978017740069413,14,7779,5666
50,50,0.006496881496881497,2,2024-03-23,50,15,1139,0.8535801516904487,14,15,3952,0.49196554827098604,14,7779,5606
50,50,0.006496881496881497,3,2024-03-23,50,15,877,0.8872605733384754,14,15,3883,0.5008355829798175,14,7779,5557
50,50,0.006496881496881497,4,2024-03-23,50,15,1005,0.8708060161974547,14,15,3974,0.48913742126237303,14,7779,5650
50,50,0.006496881496881497,5,2024-03-23,50,15,1097,0.8589793032523461,14,15,3921,0.49595063632857694,14,7779,5567
50,50,0.006496881496881497,6,2024-03-23,50,15,1239,0.8407250289240262,14,15,4006,0.48502378197711793,14,7779,5713
50,50,0.006496881496881497,7,2024-03-23,50,15,867,0.8885460856151176,14,15,3982,0.4881090114410592,14,7779,5678
50,50,0.006496881496881497,8,2024-03-23,50,15,1011,0.8700347088314693,14,15,4049,0.4794960791875562,14,7779,5790
50,50,0.006496881496881497,9,2024-03-23,50,15,1005,0.8708060161974547,14,15,3845,0.505720529631058,14,7779,5492
50,50,0.006496881496881497,10,2024-03-23,50,15,1082,0.8609075716673094,14,15,4021,0.4830955135621545,14,7779,5735
50,50,0.006496881496881497,11,2024-03-23,50,15,1056,0.8642499035865793,14,15,3895,0.49929296824784675,14,7779,5552
50,50,0.006496881496881497,12,2024-03-23,50,15,1194,0.8465098341689163,14,15,4069,0.4769250546342717,14,7779,5800
50,50,0.006496881496881497,13,2024-03-23,50,15,1078,0.8614217765779664,14,15,4078,0.4757680935852937,14,7779,5789
50,50,0.006496881496881497,14,2024-03-23,50,15,1003,0.8710631186527831,14,15,3970,0.48965162617302993,14,7779,5665
50,50,0.006496881496881497,15,2024-03-23,50,15,1020,0.8688777477824914,14,15,4042,0.4803959377812058,14,7779,5762
50,50,0.006496881496881497,16,2024-03-23,50,15,1052,0.8647641084972362,14,15,3963,0.49055148476667954,14,7779,5650
50,50,0.006496881496881497,17,2024-03-23,50,15,1065,0.8630929425376013,14,15,4074,0.4762822984959506,14,7779,5801
50,50,0.006496881496881497,18,2024-03-24,50,14,968,0.8663352665009666,13,14,3660,0.49461474730737365,13,7242,5244
50,50,0.006496881496881497,19,2024-03-23,50,15,1011,0.8700347088314693,14,15,3954,0.49170844581565754,14,7779,5648
50,50,0.006496881496881497,20,2024-03-23,50,15,1186,0.8475382439902301,14,15,4052,0.4791104255045636,14,7779,5775
50,50,0.006496881496881497,21,2024-03-23,50,15,1418,0.8177143591721301,14,15,4097,0.4733256202596735,14,7779,5822
50,50,0.006496881496881497,22,2024-03-23,50,15,1215,0.8438102583879676,14,15,3899,0.49877876333718985,14,7779,5551
50,50,0.006496881496881497,23,2024-03-23,50,15,914,0.8825041779148991,14,15,3952,0.49196554827098604,14,7779,5654
50,50,0.006496881496881497,24,2024-03-23,50,15,1264,0.8375112482324206,14,15,4046,0.4798817328705489,14,7779,5764
50,50,0.006496881496881497,25,2024-03-23,50,15,1098,0.8588507520246819,14,15,3862,0.5035351587607662,14,7779,5510
50,50,0.006496881496881497,26,2024-03-23,50,15,1176,0.8488237562668723,14,15,4021,0.4830955135621545,14,7779,5715
50,50,0.006496881496881497,27,2024-03-23,50,15,1547,0.8011312508034452,14,15,3981,0.48823756266872353,14,7779,5673
50,50,0.006496881496881497,28,2024-03-23,50,15,1217,0.8435531559326391,14,15,3887,0.5003213780691605,14,7779,5541
50,50,0.006496881496881497,29,2024-03-23,50,15,818,0.8948450957706646,14,15,3928,0.49505077773492734,14,7779,5603
50,50,0.006496881496881497,30,2024-03-23,50,15,1261,0.8378969019154133,14,15,4098,0.4731970690320093,14,7779,5825
100,100,0.012993762993762994,1,2024-03-23,100,15,1758,0.7740069417662938,14,15,4257,0.45275742383339757,14,7779,6034
100,100,0.012993762993762994,2,2024-03-23,100,15,1510,0.8058876462270215,14,15,4313,0.44555855508420106,14,7779,6113
100,100,0.012993762993762994,3,2024-03-23,100,15,1916,0.7536958477953465,14,15,4233,0.455842653297339,14,7779,6004
100,100,0.012993762993762994,4,2024-03-23,100,15,1943,0.7502249646484124,14,15,4329,0.44350173544157345,14,7779,6137
100,100,0.012993762993762994,5,2024-03-23,100,15,2042,0.7374983931096541,14,15,4263,0.45198611646741227,14,7779,6043
100,100,0.012993762993762994,6,2024-03-23,100,15,2188,0.7187299138706775,14,15,4241,0.45481424347602517,14,7779,6014
100,100,0.012993762993762994,7,2024-03-23,100,15,1575,0.797531816428847,14,15,4264,0.45185756523974807,14,7779,6048
100,100,0.012993762993762994,8,2024-03-23,100,15,1768,0.7727214294896516,14,15,4209,0.4589278827612804,14,7779,5955
100,100,0.012993762993762994,9,2024-03-23,100,15,1929,0.7520246818357115,14,15,4279,0.44992929682478466,14,7779,6035
100,100,0.012993762993762994,10,2024-03-23,100,15,1915,0.7538243990230107,14,15,4245,0.45430003856536827,14,7779,6011
100,100,0.012993762993762994,11,2024-03-23,100,15,1865,0.7602519604062219,14,15,4200,0.4600848438102584,14,7779,5952
100,100,0.012993762993762994,12,2024-03-23,100,15,1821,0.7659082144234477,14,15,4227,0.4566139606633244,14,7779,6005
100,100,0.012993762993762994,13,2024-03-23,100,15,1861,0.7607661653168788,14,15,4246,0.45417148733770407,14,7779,6015
100,100,0.012993762993762994,14,2024-03-23,100,15,1726,0.778120581051549,14,15,4186,0.4618845609975575,14,7779,5954
100,100,0.012993762993762994,15,2024-03-23,100,15,1940,0.7506106183314051,14,15,4279,0.44992929682478466,14,7779,6051
100,100,0.012993762993762994,16,2024-03-23,100,15,1643,0.7887903329476796,14,15,4226,0.4567425118909886,14,7779,6023
100,100,0.012993762993762994,17,2024-03-23,100,15,1574,0.7976603676565112,14,15,4272,0.45082915541843427,14,7779,6057
100,100,0.012993762993762994,18,2024-03-23,100,15,1697,0.7818485666538115,14,15,4248,0.4539143848823757,14,7779,6039
100,100,0.012993762993762994,19,2024-03-23,100,15,1699,0.7815914641984831,14,15,4285,0.44915798945879937,14,7779,6059
100,100,0.012993762993762994,20,2024-03-23,100,15,1617,0.7921326648669494,14,15,4276,0.45031495050777737,14,7779,6048
100,100,0.012993762993762994,21,2024-03-23,100,15,1746,0.7755495564982646,14,15,4336,0.44260187684792385,14,7779,6146
100,100,0.012993762993762994,22,2024-03-23,100,15,1945,0.7499678621930839,14,15,4224,0.456999614346317,14,7779,5993
100,100,0.012993762993762994,23,2024-03-23,100,15,1983,0.7450829155418435,14,15,4231,0.4560997557526675,14,7779,6014
100,100,0.012993762993762994,24,2024-03-23,100,15,2011,0.7414834811672452,14,15,4313,0.44555855508420106,14,7779,6094
100,100,0.012993762993762994,25,2024-03-23,100,15,1967,0.7471397351844711,14,15,4244,0.4544285897930326,14,7779,6028
100,100,0.012993762993762994,26,2024-03-23,100,15,1808,0.7675793803830826,14,15,4273,0.45070060419077007,14,7779,6082
100,100,0.012993762993762994,27,2024-03-23,100,15,2022,0.7400694176629387,14,15,4287,0.44890088700347086,14,7779,6040
100,100,0.012993762993762994,28,2024-03-23,100,15,2025,0.7396837639799461,14,15,4239,0.4550713459313537,14,7779,6015
100,100,0.012993762993762994,29,2024-03-23,100,15,1809,0.7674508291554184,14,15,4190,0.4613703560869006,14,7779,5954
100,100,0.012993762993762994,30,2024-03-23,100,15,1498,0.8074302609589922,14,15,4183,0.4622702146805502,14,7779,5940
