delete_count,delete_label,delete_ratio,runs,removed_ops,direct_impacted_patch_count_mean,direct_impacted_patch_count_median,direct_impacted_op_count_mean,direct_impacted_op_count_median,direct_saving_rate_mean,direct_max_depth_days_mean,direct_max_depth_days_max,propagated_impacted_patch_count_mean,propagated_impacted_patch_count_median,propagated_impacted_op_count_mean,propagated_impacted_op_count_median,propagated_saving_rate_mean,propagated_max_depth_days_mean,propagated_max_depth_days_max,suffix_ops_mean
1,1,0.00012993762993762994,30,1.0,3.2333333333333334,1.0,23.666666666666668,7.0,0.9936250587489948,2.3333333333333335,14,6.2,4.5,1182.0666666666666,847.0,0.7451470661162035,5.566666666666666,14,4163.366666666667
3,3,0.00038981288981288983,30,3.0,9.0,9.0,88.53333333333333,82.5,0.9849719555037816,10.3,14,11.633333333333333,12.5,2515.0666666666666,2708.0,0.6090298818996429,10.9,14,6461.733333333334
5,5,0.0006496881496881497,30,5.0,10.5,11.0,125.63333333333334,119.5,0.9814385972433033,11.333333333333334,14,12.6,13.0,2743.133333333333,2945.0,0.5954951129464536,11.7,14,6715.7
10,10,0.0012993762993762994,30,10.0,13.533333333333333,14.0,255.06666666666666,258.5,0.9645566050188602,12.733333333333333,14,13.733333333333333,14.0,3220.6,3264.0,0.5521857827965017,12.733333333333333,14,7188.6
50,50,0.006496881496881497,30,50.0,14.966666666666667,15.0,1093.3333333333333,1071.5,0.8591430862497794,13.966666666666667,14,14.966666666666667,15.0,3971.0,3972.0,0.48836014963064683,13.966666666666667,14,7761.1
100,100,0.012993762993762994,30,100.0,15.0,15.0,1826.7,1841.0,0.7651754724257617,14.0,14,15.0,15.0,4253.266666666666,4247.0,0.4532373484166774,14.0,14,7779.0
